"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,98,2,0,99,95,4,1,97,94,5,1,96,90,9,1,96,,1300,336,26,01/01/2023,12/31/2023
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,97,2,1,98,93,6,1,96,89,8,3,95,87,11,2,95,,1508,397,27,01/01/2023,12/31/2023
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,97,3,0,98,94,5,1,96,87,11,2,94,86,13,1,95,,1572,377,24,01/01/2023,12/31/2023
01C0001053,JACKSON SURGERY CENTER LLC,1725 PARK PL,MONTGOMERY,AL,36106,,(334) 293-3920,98,2,0,99,91,6,3,94,92,7,1,96,90,9,1,96,2,717,175,24,01/01/2023,12/31/2023
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,97,3,0,99,90,8,2,94,87,8,5,94,86,13,1,95,,1183,284,24,01/01/2023,12/31/2023
03C0001043,PRESCOTT OUTPATIENT SURGICAL CENTER,815 AINSWORTH DR.,PRESCOTT,AZ,86301,,(928) 443-6566,,,,,,,,,,,,,,,,,4,,,,,
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,98,2,0,99,93,6,1,96,94,5,1,97,91,9,0,97,,1157,305,26,01/01/2023,12/31/2023
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,97,3,0,99,91,6,3,94,91,7,2,95,86,12,2,95,,1103,238,22,01/01/2023,12/31/2023
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,98,2,0,99,95,4,1,97,95,4,1,97,91,7,2,96,,823,234,28,01/01/2023,12/31/2023
03C0001249,SCOTTSDALE ENDOSCOPY ASC LLC DBA SCOTTSDALE ENDOSCOPY CENTER,9787 NORTH 91ST STREET SUITE 103,SCOTTSDALE,AZ,85258,,(480) 657-0889,,,,,,,,,,,,,,,,,4,,,,,
03C0001259,TUCSON DIGESTIVE INSTITUTE LLC DBA ARIZONA DIGESTIVE INSTITUTE,7566 NORTH LA CHOLLA BLVD SUITE B,TUCSON,AZ,85741,,(520) 547-5847,95,4,1,97,89,9,2,94,82,15,3,93,79,19,2,92,,1314,430,33,01/01/2023,12/31/2023
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,95,4,1,97,88,10,2,93,81,16,3,92,80,18,2,93,,1166,206,18,01/01/2023,12/31/2023
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,99,1,0,99,94,5,1,97,92,7,1,96,91,8,1,96,,1187,302,25,01/01/2023,12/31/2023
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,98,2,0,99,92,7,1,95,90,9,1,95,86,12,2,94,,1043,307,29,01/01/2023,12/31/2023
03C0001290,CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,4620 EAST CAMP LOWELL DR,TUCSON,AZ,85712,,(520) 618-6058,97,3,0,98,92,7,1,95,88,10,2,95,89,10,1,96,,853,353,41,01/01/2023,12/31/2023
03C0001298,SURGICAL ELITE OF AVONDALE,10815 WEST MCDOWELL RD SUITE 101,AVONDALE,AZ,85392,,(623) 433-0192,97,3,0,98,93,5,2,95,93,7,0,96,85,15,0,95,,1398,270,19,01/01/2023,12/31/2023
03C0001299,THE ORTHOPEDIC SURGERY CENTER OF ARIZONA,2262 EAST ROSE GARDEN LANE,PHOENIX,AZ,85024,,(602) 424-4408,,,,,,,,,,,,,,,,,4,,,,,
