"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,98,2,0,99,93,5,2,96,91,7,2,95,88,11,1,96,5097,1285,25,01/01/2023,12/31/2023
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,99,91,7,2,95,89,9,2,95,87,12,1,95,25871,6982,27,01/01/2023,12/31/2023
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97,3,0,98,91,7,2,94,88,10,2,95,87,11,2,95,63982,16748,26,01/01/2023,12/31/2023
Colorado,97,3,0,98,91,8,1,95,87,11,2,94,84,14,2,94,17291,4972,29,01/01/2023,12/31/2023
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98,2,0,99,93,6,1,96,91,7,2,96,91,8,1,96,4686,1360,29,01/01/2023,12/31/2023
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,96,3,1,98,91,8,1,95,86,12,2,94,85,14,1,94,2262,357,16,01/01/2023,12/31/2023
Florida,97,3,0,98,91,7,2,95,89,9,2,95,87,11,2,95,66954,20565,31,01/01/2023,12/31/2023
Georgia,98,2,0,99,92,6,2,96,91,7,2,96,90,8,2,96,19190,4624,24,01/01/2023,12/31/2023
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,98,2,0,99,93,6,1,96,92,7,1,96,89,10,1,96,4910,1710,35,01/01/2023,12/31/2023
Idaho,99,1,0,99,94,5,1,97,90,8,2,95,88,9,3,95,2865,789,28,01/01/2023,12/31/2023
Illinois,97,3,0,98,92,7,1,95,89,9,2,95,85,13,2,94,6703,2091,31,01/01/2023,12/31/2023
Indiana,98,2,0,99,91,7,2,95,89,10,1,95,87,11,2,95,8313,2707,33,01/01/2023,12/31/2023
Iowa,98,2,0,99,92,7,1,95,91,8,1,96,88,11,1,95,1425,539,38,01/01/2023,12/31/2023
Kansas,98,2,0,99,85,12,3,91,90,8,2,96,87,11,2,95,1966,721,37,01/01/2023,12/31/2023
Kentucky,,,,,,,,,,,,,,,,,,,,,
Louisiana,98,2,0,99,93,5,2,96,90,8,2,96,90,9,1,96,7720,2206,29,01/01/2023,12/31/2023
Maine,98,2,0,99,94,5,1,96,94,5,1,97,90,9,1,96,783,244,31,01/01/2023,12/31/2023
Maryland,97,3,0,98,91,7,2,95,87,11,2,94,83,15,2,93,32802,8919,27,01/01/2023,12/31/2023
Massachusetts,97,3,0,99,93,6,1,96,88,10,2,95,87,11,2,94,1178,379,32,01/01/2023,12/31/2023
Michigan,98,2,0,99,91,7,2,94,91,7,2,96,89,10,1,96,11867,3444,30,01/01/2023,12/31/2023
Minnesota,99,1,0,99,93,6,1,96,91,7,2,96,87,11,2,95,11185,3535,32,01/01/2023,12/31/2023
Mississippi,98,2,0,99,92,6,2,95,93,5,2,96,89,10,1,96,3433,1006,29,01/01/2023,12/31/2023
Missouri,97,3,0,99,93,6,1,96,89,9,2,95,87,11,2,95,21104,6436,30,01/01/2023,12/31/2023
Montana,98,2,0,99,92,7,1,95,91,7,2,95,89,10,1,96,3886,1331,34,01/01/2023,12/31/2023
Nebraska,98,2,0,99,94,5,1,97,89,10,1,95,85,13,2,94,1217,397,33,01/01/2023,12/31/2023
Nevada,97,3,0,98,90,8,2,94,88,10,2,95,85,12,3,94,3775,753,20,01/01/2023,12/31/2023
New Hampshire,99,1,0,99,93,6,1,96,93,6,1,97,90,9,1,96,5609,1736,31,01/01/2023,12/31/2023
New Jersey,98,2,0,99,92,6,2,95,90,9,1,95,88,11,1,95,24555,6678,27,01/01/2023,12/31/2023
New Mexico,96,4,0,98,91,8,1,95,90,8,2,95,86,13,1,95,4265,1089,26,01/01/2023,12/31/2023
New York,,,,,,,,,,,,,,,,,,,,,
North Carolina,98,2,0,99,92,6,2,95,91,8,1,96,89,10,1,96,9871,2458,25,01/01/2023,12/31/2023
North Dakota,98,2,0,99,95,4,1,97,90,9,1,96,91,9,0,97,565,209,37,01/01/2023,12/31/2023
Ohio,98,2,0,99,94,5,1,96,92,7,1,96,90,9,1,96,18291,4514,25,01/01/2023,12/31/2023
Oklahoma,96,4,0,98,90,8,2,94,89,9,2,95,85,14,1,94,1074,358,33,01/01/2023,12/31/2023
Oregon,97,2,1,98,92,6,2,95,87,11,2,94,85,12,3,94,16004,5083,32,01/01/2023,12/31/2023
Pennsylvania,98,2,0,99,94,5,1,97,93,6,1,96,90,9,1,96,16026,5334,33,01/01/2023,12/31/2023
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,
South Carolina,98,2,0,99,93,5,2,96,92,6,2,96,90,9,1,96,5029,1767,35,01/01/2023,12/31/2023
South Dakota,,,,,,,,,,,,,,,,,,,,,
Tennessee,98,2,0,99,93,6,1,96,91,8,1,96,90,9,1,96,36499,8934,25,01/01/2023,12/31/2023
Texas,97,3,0,98,92,6,2,95,89,9,2,95,87,11,2,94,105279,22625,22,01/01/2023,12/31/2023
Utah,96,3,1,98,93,5,2,96,89,9,2,95,87,11,2,95,2716,741,27,01/01/2023,12/31/2023
Vermont,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
