"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.383,,01/01/2023,12/31/2023
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.948,,01/01/2023,12/31/2023
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.618,,01/01/2023,12/31/2023
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.536,,01/01/2023,12/31/2023
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.219,,01/01/2023,12/31/2023
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.826,,01/01/2023,12/31/2023
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.800,,01/01/2023,12/31/2023
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.891,,01/01/2023,12/31/2023
AK,HAI_3_SIR,SSI - Colon Surgery,1.258,,01/01/2023,12/31/2023
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.128,,01/01/2023,12/31/2023
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.523,,01/01/2023,12/31/2023
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.764,,01/01/2023,12/31/2023
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.085,,01/01/2023,12/31/2023
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.513,,01/01/2023,12/31/2023
AK,HAI_5_SIR,MRSA Bacteremia,0.231,,01/01/2023,12/31/2023
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.279,,01/01/2023,12/31/2023
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.502,,01/01/2023,12/31/2023
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.379,,01/01/2023,12/31/2023
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.864,,01/01/2023,12/31/2023
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.081,,01/01/2023,12/31/2023
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.968,,01/01/2023,12/31/2023
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.495,,01/01/2023,12/31/2023
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.622,,01/01/2023,12/31/2023
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.556,,01/01/2023,12/31/2023
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.539,,01/01/2023,12/31/2023
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.779,,01/01/2023,12/31/2023
AL,HAI_3_SIR,SSI - Colon Surgery,0.651,,01/01/2023,12/31/2023
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.495,,01/01/2023,12/31/2023
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.915,,01/01/2023,12/31/2023
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.681,,01/01/2023,12/31/2023
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.859,,01/01/2023,12/31/2023
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.120,,01/01/2023,12/31/2023
AL,HAI_5_SIR,MRSA Bacteremia,0.983,,01/01/2023,12/31/2023
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.444,,01/01/2023,12/31/2023
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.512,,01/01/2023,12/31/2023
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.477,,01/01/2023,12/31/2023
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.646,,01/01/2023,12/31/2023
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.894,,01/01/2023,12/31/2023
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.763,,01/01/2023,12/31/2023
AR,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.331,,01/01/2023,12/31/2023
AR,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.488,,01/01/2023,12/31/2023
AR,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.404,,01/01/2023,12/31/2023
AR,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.851,,01/01/2023,12/31/2023
AR,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.263,,01/01/2023,12/31/2023
AR,HAI_3_SIR,SSI - Colon Surgery,1.042,,01/01/2023,12/31/2023
AR,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.431,,01/01/2023,12/31/2023
AR,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.158,,01/01/2023,12/31/2023
AR,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.729,,01/01/2023,12/31/2023
AR,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.709,,01/01/2023,12/31/2023
AR,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.058,,01/01/2023,12/31/2023
AR,HAI_5_SIR,MRSA Bacteremia,0.871,,01/01/2023,12/31/2023
AR,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.329,,01/01/2023,12/31/2023
AR,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.419,,01/01/2023,12/31/2023
AR,HAI_6_SIR,Clostridium Difficile (C.Diff),0.372,,01/01/2023,12/31/2023
AS,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,01/01/2023,12/31/2023
AS,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,01/01/2023,12/31/2023
AS,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,01/01/2023,12/31/2023
AS,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,01/01/2023,12/31/2023
AS,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,01/01/2023,12/31/2023
AS,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,01/01/2023,12/31/2023
