"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,92,7,1,95,84,13,3,94,83,15,2,93,52854,13205,25,01/01/2023,12/31/2023
Alaska,96,3,1,98,93,5,2,95,85,11,4,93,81,17,2,93,5200,787,15,01/01/2023,12/31/2023
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,96,3,1,98,90,8,2,94,84,12,4,93,80,16,4,92,25842,7182,28,01/01/2023,12/31/2023
Arkansas,97,2,1,98,91,7,2,94,83,14,3,93,78,19,3,91,12293,2531,21,01/01/2023,12/31/2023
California,96,3,1,98,89,9,2,93,84,13,3,93,82,15,3,92,367695,96352,27,01/01/2023,12/31/2023
Colorado,97,3,0,98,91,7,2,95,86,11,3,94,83,15,2,93,83370,19816,24,01/01/2023,12/31/2023
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,91,7,2,95,86,12,2,94,83,15,2,93,37042,9146,25,01/01/2023,12/31/2023
Delaware,98,2,0,99,93,5,2,96,88,9,3,95,82,16,2,94,7449,1919,26,01/01/2023,12/31/2023
District of Columbia,94,5,1,97,90,8,2,94,77,20,3,91,77,19,4,91,12930,2161,17,01/01/2023,12/31/2023
Florida,96,3,1,98,91,7,2,94,86,11,3,94,84,13,3,93,104430,26114,25,01/01/2023,12/31/2023
